country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,continent
Mongolia,0.794,,,,,,,,,,Asia
Uruguay,0.748,,,,,,,,,,Americas
Puerto Rico,0.692,,,,,,,,,,Americas
Bosnia and Herzegovina,0.754,,,,,,,,,,Europe
Qatar,0.703,,,,,,,,,,Asia
Moldova,0.758,,,,,,,,,,Europe
Namibia,0.61,,,,,,,,,,Africa
Armenia,0.772,,,,,,,,,,Asia
Lithuania,0.886,,,,,,,,,,Europe
Jamaica,0.71,,,,,,,,,,Americas
Albania,0.796,,,,,,,,,,Europe
Gambia,0.575,,,,,,,,,,Africa
Gabon,0.593,,,,,,,,,,Africa
Botswana,0.659,,,,,,,,,,Africa
Lesotho,0.605,,,,,,,,,,Africa
Guinea-Bissau,0.483,,,,,,,,,,Africa
Slovenia,0.824,,,,,,,,,,Europe
Equatorial Guinea,0.619,,,,,,,,,,Africa
Latvia,0.872,,,,,,,,,,Europe
North Macedonia,0.798,,,,,,,,,,Europe
Bahrain,0.752,476.09,64.0,14.0,26.0,30.0,81.0,88.0,42.0,52.0,Asia
Trinidad and Tobago,0.721,,,,,,,,,,Americas
Timor-Leste,0.664,,,,,,,,,,Asia
Estonia,0.892,,,,,,,,,,Europe
Cyprus,0.739,,,,,,,,,,Europe
Mauritius,0.678,,,,,,,,,,Africa
Eswatini,0.415,,,,,,,,,,Africa
Djibouti,0.504,,,,,,,,,,Africa
Fiji,0.738,,,,,,,,,,Oceania
Comoros,0.519,,,,,,,,,,Africa
Guyana,0.769,,,,,,,,,,Americas
Solomon Islands,0.664,,,,,,,,,,Oceania
Bhutan,0.7,,,,,,,,,,Asia
Luxembourg,0.924,,,,,,,,,,Europe
Montenegro,0.808,,,,,,,,,,Europe
Suriname,0.694,,,,,,,,,,Americas
Malta,0.846,,,,,,,,,,Europe
Maldives,0.72,,,,,,,,,,Asia
Cape Verde,0.738,,,,,,,,,,Africa
Belize,0.657,,,,,,,,,,Americas
Iceland,0.924,,,,,,,,,,Europe
Vanuatu,0.644,,,,,,,,,,Oceania
Barbados,0.779,,,,,,,,,,Americas
Sao Tome and Principe,0.648,,,,,,,,,,
Samoa,0.711,,,,,,,,,,Oceania
Seychelles,0.799,,,,,,,,,,Africa
Tonga,0.697,,,,,,,,,,Oceania
